decision_id,timestamp,bot_version,account,symbol,strategy,strategy_version,intended_action,position_side_before,position_side_after_expected,strategy_reason,order_id,client_order_id,order_type,requested_qty,filled_qty,final_status,decision_price,filled_avg_price,submitted_at,filled_at,canceled_at,failed_at,expired_at,note
c39f47eb98554c1baeb1c34340035104,2026-04-23T14:02:08Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,SELL,flat,short,macd_pullback,c3312816-607b-44c4-ad39-22e1211d0177,db8f032d-94c7-4888-afae-9060eb603d92,market,103,103,filled,77.15,77.175535,2026-04-23 14:02:03.440028+00:00,2026-04-23 14:02:06.562760+00:00,,,,
e2989f004921450fbf267e01eeeec154,2026-04-23T14:06:05Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,BUY,flat,long,vwap_rsi_mean_reversion,857b4090-8a4f-4caa-af0e-d0fb01959ea7,e4eea65c-bf43-42ff-b441-453f336315de,market,51,51,filled,77.32,77.29,2026-04-23 14:06:02.188732+00:00,2026-04-23 14:06:02.750462+00:00,,,,
b4d6c78b5a974eaa9d3e659e7f835e91,2026-04-23T14:06:09Z,0.3.0,vwap_rsi_paper,MSFT,vwap_rsi_mean_reversion,v1,BUY,flat,long,vwap_rsi_mean_reversion,bd799eb7-ba86-4b41-9bf3-75e5d8bb3090,de0ea16d-1ed4-4d5c-aded-e4802e1b0084,market,9,9,filled,417.24,417.273333,2026-04-23 14:06:06.314390+00:00,2026-04-23 14:06:07.798988+00:00,,,,
1fab1bccc2ba477ea93e60a123922334,2026-04-23T14:19:05Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,BUY,flat,long,vwap_rsi_mean_reversion,cc231b1a-84e6-4fff-9ae9-a5f400f18362,7a3ca27c-027b-4e46-9647-e6323d5a8f64,market,51,51,filled,77.14,76.943922,2026-04-23 14:19:00.163024+00:00,2026-04-23 14:19:02.977887+00:00,,,,
9daaf3073bd24e6cb964aee1bf867b6f,2026-04-23T14:19:09Z,0.3.0,vwap_rsi_paper,MSFT,vwap_rsi_mean_reversion,v1,BUY,flat,long,vwap_rsi_mean_reversion,5b2d4755-cf9b-407e-9417-a07e0e9393d8,b8734544-e49b-4a7b-b541-a59aa7fac6af,market,9,9,filled,417.62,417.54,2026-04-23 14:19:06.253573+00:00,2026-04-23 14:19:06.572735+00:00,,,,
2e9dad85baf3453697161f36b96372ea,2026-04-23T14:26:44Z,0.3.0,vwap_rsi_paper,MSFT,vwap_rsi_mean_reversion,v1,SELL,long,flat,take_profit,609a0254-2724-4510-bc3f-37ffb29d0d40,c5114750-c225-4668-881a-c1560d6fe7f9,market,9,9,filled,419.26,418.516667,2026-04-23 14:26:39.721855+00:00,2026-04-23 14:26:43.384801+00:00,,,,
49249c0dfc3343448178bb41d4717459,2026-04-23T14:47:00Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,SELL,long,flat,take_profit,85457b83-296a-4014-8700-a5aa56be326c,fe9f1993-291c-4f1b-9439-91af2e749fc3,market,51,51,filled,77.86,77.73,2026-04-23 14:46:57.497348+00:00,2026-04-23 14:46:57.963147+00:00,,,,
7053e60cc8594b758b21c146387cebb8,2026-04-23T14:51:34Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,BUY,short,flat,macd_failure,9f690107-ae88-4a64-b657-1ea3b40b9386,8f77be70-f3ee-4698-a14d-907e3d7ecf1f,market,103,103,filled,77.6,77.72,2026-04-23 14:51:31.215364+00:00,2026-04-23 14:51:31.615861+00:00,,,,
aefe7ab3e38a40659d82737a8dfebc6c,2026-04-23T15:16:26Z,0.3.0,vwap_rsi_paper,AMZN,vwap_rsi_mean_reversion,v1,SELL,flat,short,vwap_rsi_mean_reversion,ab013c98-42a5-409a-a828-34b94d717fc8,c3c2aed0-ec81-495b-97ca-2e7ecc34f850,market,15,15,filled,258.3,258.21,2026-04-23 15:16:23.051791+00:00,2026-04-23 15:16:23.553852+00:00,,,,
2cb3cbcc9f5849a09bb925344a412c0d,2026-04-23T15:51:14Z,0.3.0,macd_pullback_paper,META,macd_pullback,v2,SELL,flat,short,macd_pullback,2160b468-f6bd-449e-80ee-eebc3f46a130,a9709e13-a995-4cea-a5e0-ad946e15f70c,market,12,12,filled,666.995,666.336667,2026-04-23 15:51:09.089659+00:00,2026-04-23 15:51:10.083775+00:00,,,,
