decision_id,timestamp,bot_version,account,symbol,strategy,strategy_version,interval,action,reason,latest_close,entry_price,buying_power,in_position,position_side,position_qty,qty,market_is_open,force_test_trade,force_direction
7d93e697010e43dd9062a8c8a7babb3e,2026-05-01T14:06:55Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,284.74,,399140.68,False,flat,0,28,True,False,SELL
f93fbd795108484bb8f988a1eece8886,2026-05-01T14:16:46Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,286.0,,399140.68,False,flat,0,27,True,False,SELL
6841027086a54e7fa662d8c0189c6b88,2026-05-01T14:24:31Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,5m,BUY,macd_pullback,76.38,,402059.6,False,flat,0,105,True,False,SELL
c4290ca950c842ac8803520d6e6c274b,2026-05-01T14:26:09Z,0.3.0,vwap_rsi_paper,AMZN,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,272.025,,389863.96,False,flat,0,28,True,False,SELL
34ea6d61fca5499b8f3cfad25f068e28,2026-05-01T14:42:52Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,BUY,take_profit,282.705,286.318518,380729.8,True,short,27,27,True,False,SELL
b3669507be674990a17b4d21ff2677fc,2026-05-01T15:02:47Z,0.3.0,vwap_rsi_paper,AMZN,vwap_rsi_mean_reversion,v1,5m,BUY,take_profit,269.0,271.85,390006.52,True,short,28,28,True,False,SELL
38bdcb3c67524d3dbbc25fb5f96901e8,2026-05-01T15:39:19Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,BUY,macd_pullback,354.66,,394038.19,False,flat,0,22,True,False,SELL
3bf81da3b1d4425ea7d720df2b7ae07e,2026-05-01T15:51:05Z,0.3.0,macd_pullback_paper,META,macd_pullback,v2,5m,SELL,macd_pullback,610.145,,386232.59,False,flat,0,12,True,False,SELL
cb27483629b04642be82be8c9db4d5f5,2026-05-01T16:51:22Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,5m,SELL,time_stop,76.69,76.394381,377447.87,True,long,105,105,True,False,SELL
992c9f0a8c214954939877502baa915c,2026-05-01T17:40:59Z,0.3.0,vwap_rsi_paper,AMD,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,360.09,,399140.68,False,flat,0,22,True,False,SELL
d59d9b448f97495c984043d716101a5b,2026-05-01T17:43:41Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,SELL,take_profit,361.7,354.8,394254.0,True,long,22,22,True,False,SELL
eea3d7c4353f475d8b83ef67b09cb531,2026-05-01T17:53:03Z,0.3.0,vwap_rsi_paper,AMD,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,361.88,,399140.68,False,flat,0,22,True,False,SELL
dbdc78500102441d83c377c1ffedbdd8,2026-05-01T19:07:27Z,0.3.0,vwap_rsi_paper,AMD,vwap_rsi_mean_reversion,v1,5m,BUY,time_stop,358.525,361.75,389590.48,True,short,22,22,True,False,SELL
43405b838e504d6dbbb638f13b85ab1a,2026-05-04T14:02:05Z,0.3.0,macd_pullback_paper,AAPL,macd_pullback,v2,5m,SELL,macd_pullback,275.375,,402558.88,False,flat,0,29,True,False,SELL
308eebd64b9c41be893050aa483a5189,2026-05-04T14:14:07Z,0.3.0,macd_pullback_paper,MSFT,macd_pullback,v2,5m,BUY,macd_pullback,416.895,,392970.52,False,flat,0,18,True,False,SELL
27e303079aee4993bac26cdbdc7fb414,2026-05-04T14:21:23Z,0.3.0,vwap_rsi_paper,AMD,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,344.8,,400037.12,False,flat,0,23,True,False,SELL
2675ec10fedf483bbc3c6e8c68b278e2,2026-05-04T14:35:43Z,0.3.0,vwap_rsi_paper,AMD,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,344.05,,400037.12,False,flat,0,23,True,False,SELL
99853ed8051b46f8aa2ee6bb4596f47e,2026-05-04T14:52:37Z,0.3.0,vwap_rsi_paper,AMZN,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,275.5,,392120.29,False,flat,0,28,True,False,SELL
5b1fda2516f64e748ca6bf2dbac2c4c4,2026-05-04T15:22:52Z,0.3.0,macd_pullback_paper,MSFT,macd_pullback,v2,5m,SELL,macd_failure,415.645,416.975,385464.97,True,long,18,18,True,False,SELL
87cec8b179f5494da86dc1ff27d7fa8c,2026-05-04T15:36:22Z,0.3.0,vwap_rsi_paper,AMZN,vwap_rsi_mean_reversion,v1,5m,BUY,take_profit,271.535,275.75,390771.92,True,short,28,28,True,False,SELL
