symbol,strategy,interval,side,qty,entry_signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl,return_pct,stop_price,take_profit_price
ALB,macd_pullback,5m,short,5,2025-07-14T14:05:00+00:00,2025-07-14T14:10:00+00:00,70.9,2025-07-17T13:30:00+00:00,73.03,stop_loss,213,-10.65,-3.0042,73.03,66.65
ALB,macd_pullback,5m,long,5,2025-07-17T17:40:00+00:00,2025-07-17T17:45:00+00:00,76.18,2025-07-21T13:30:00+00:00,80.75,take_profit,106,22.85,5.9989,73.89,80.75
ALB,macd_pullback,5m,long,5,2025-07-24T17:30:00+00:00,2025-07-24T17:35:00+00:00,83.715,2025-07-28T13:30:00+00:00,81.2,stop_loss,106,-12.575,-3.0042,81.2,88.74
ALB,macd_pullback,5m,short,5,2025-07-29T19:15:00+00:00,2025-07-29T19:20:00+00:00,71.36,2025-07-31T13:30:00+00:00,67.08,take_profit,87,21.4,5.9978,73.5,67.08
ALB,macd_pullback,5m,long,5,2025-08-04T15:15:00+00:00,2025-08-04T15:20:00+00:00,68.995,2025-08-05T14:45:00+00:00,66.93,stop_loss,72,-10.325,-2.993,66.93,73.13
ALB,macd_pullback,5m,long,5,2025-08-07T16:05:00+00:00,2025-08-07T16:10:00+00:00,71.5,2025-08-08T18:40:00+00:00,75.79,take_profit,110,21.45,6.0,69.36,75.79
ALB,macd_pullback,5m,long,5,2025-08-12T16:30:00+00:00,2025-08-12T16:35:00+00:00,79.575,2025-08-18T16:05:00+00:00,84.35,take_profit,293,23.875,6.0006,77.19,84.35
ALB,macd_pullback,5m,short,5,2025-08-19T19:00:00+00:00,2025-08-19T19:05:00+00:00,80.695,2025-08-26T14:00:00+00:00,83.12,stop_loss,284,-12.125,-3.0051,83.12,75.85
ALB,macd_pullback,5m,long,5,2025-08-29T16:05:00+00:00,2025-08-29T16:10:00+00:00,85.52,2025-09-02T13:30:00+00:00,82.95,stop_loss,42,-12.85,-3.0051,82.95,90.65
ALB,macd_pullback,5m,short,5,2025-09-02T18:20:00+00:00,2025-09-02T18:25:00+00:00,79.52,2025-09-05T13:30:00+00:00,81.91,stop_loss,144,-11.95,-3.0055,81.91,74.75
ALB,macd_pullback,5m,long,5,2025-09-08T17:40:00+00:00,2025-09-08T17:45:00+00:00,81.65,2025-09-09T13:30:00+00:00,79.2,stop_loss,27,-12.25,-3.0006,79.2,86.55
ALB,macd_pullback,5m,short,5,2025-09-09T17:40:00+00:00,2025-09-09T17:45:00+00:00,72.34,2025-09-10T14:05:00+00:00,74.51,stop_loss,35,-10.85,-2.9997,74.51,68.0
ALB,macd_pullback,5m,short,5,2025-09-10T17:50:00+00:00,2025-09-10T17:55:00+00:00,73.36,2025-09-11T17:00:00+00:00,75.56,stop_loss,67,-11.0,-2.9989,75.56,68.96
ALB,macd_pullback,5m,long,5,2025-09-15T19:15:00+00:00,2025-09-15T19:20:00+00:00,81.29,2025-09-25T14:40:00+00:00,86.17,take_profit,515,24.4,6.0032,78.85,86.17
ALB,macd_pullback,5m,long,5,2025-09-26T18:25:00+00:00,2025-09-26T18:30:00+00:00,87.94,2025-09-30T13:30:00+00:00,85.3,stop_loss,91,-13.2,-3.002,85.3,93.22
